search_engine,search_string,title,media,timestamp,link
Yahoo,Tata Lawsuits,Mama & Tata Influencer Candice Miller Saddled with Husband’s $33.6 Million Debt After His Death by Suicide: Report,People·  via Yahoo News,1 month ago,https://r.search.yahoo.com/_ylt=Awr99TRB7qlnlE0jq1TQtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218626/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fmama-tata-influencer-candice-miller-224820000.html%3ffr%3dsycsrp_catchall/RK=2/RS=VQIw88oWXXgmBizF04jLAlw8aCw-
Yahoo,Tata Lawsuits,"Real estate mogul, husband of Mama + Tata influencer dead at 43",NY Post·  via Yahoo News,7 months ago,https://r.search.yahoo.com/_ylt=Awr99TRB7qlnlE0jrVTQtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218626/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2freal-estate-mogul-husband-mama-191725327.html%3ffr%3dsycsrp_catchall/RK=2/RS=EqGT5P63g7lnPvb6pZIdlvh4GNo-
Yahoo,Tata Lawsuits,Mama & Tata Influencer Candice Miller Selling $15 Million Hamptons Home 1 Month After Husband Brandon's Death,People·  via AOL,6 months ago,https://r.search.yahoo.com/_ylt=Awr99TRB7qlnlE0jr1TQtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218626/RO=10/RU=https%3a%2f%2fwww.aol.com%2fmama-tata-influencer-candice-miller-170622813.html/RK=2/RS=P3NB3wIXI2s2Bb_plx2eIvP5Jys-
Yahoo,Tata Lawsuits,Hundreds of Items Auctioned Off from Former Home of Mama & Tata Influencer Candice Miler After Late Husband’s Death,People·  via Yahoo News,1 month ago,https://r.search.yahoo.com/_ylt=Awr99TRB7qlnlE0jsVTQtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218626/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fmama-tata-influencer-candice-miller-162003406.html%3ffr%3dsycsrp_catchall/RK=2/RS=X_Tbs0RtvIWinHEcWjqdviPVTkA-
Yahoo,Tata Lawsuits,TCS Revamps Organization Structure to Leverage Domain Knowledge,Bloomberg·  via Yahoo Finance,2 years ago,https://r.search.yahoo.com/_ylt=Awr99TRB7qlnlE0js1TQtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218626/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2ftcs-revamps-organization-structure-leverage-082432871.html%3ffr%3dsycsrp_catchall/RK=2/RS=JeENZujfQ6AHDn0ij3NnmTCZNkY-
Yahoo,Tata Lawsuits,Everything Apple says is wrong about the DOJ’s iPhone lawsuit,Digital Trends·  via Yahoo News,10 months ago,https://r.search.yahoo.com/_ylt=Awr99TRB7qlnlE0jtVTQtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218626/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2ftech%2feverything-apple-says-wrong-doj-180017657.html/RK=2/RS=qQdMlBUwNfbM9Az7nyF0tm66LDY-
Yahoo,Tata Lawsuits,Influencer Candice Miller selling personal items after late husband amassed $33.6m debt,The Independent·  via Yahoo News,1 month ago,https://r.search.yahoo.com/_ylt=Awr99TRB7qlnlE0jt1TQtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218626/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2finfluencer-candice-miller-selling-personal-181930540.html%3ffr%3dsycsrp_catchall/RK=2/RS=4GkXv5972iSymzcAXbhGW7VOkE0-
Yahoo,Tata Lawsuits,"Chief executives of Air India, Akasa joust over poaching of pilots",Reuters·  via Yahoo Finance,1 year ago,https://r.search.yahoo.com/_ylt=Awr99TRB7qlnlE0juVTQtDMD;_ylu=Y29sbwNncTEEcG9zAzkEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218626/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fchief-executives-air-india-akasa-075037899.html%3ffr%3dsycsrp_catchall/RK=2/RS=Nqc0fDVjX.uHeWkyFZ6fGalmWbI-
Yahoo,Tata Lawsuits,"Messi still out, Suarez may rest for Inter Miami vs. Tigres Leagues Cup game in Houston",Miami Herald·  via Yahoo Sports,6 months ago,https://r.search.yahoo.com/_ylt=Awr99TRB7qlnlE0ju1TQtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1739218626/RO=10/RU=https%3a%2f%2fsports.yahoo.com%2fmessi-still-suarez-may-rest-214315586.html%3ffr%3dsycsrp_catchall/RK=2/RS=dP_DmDkZ_kM7RyRuyD9WoLwXHic-
Google,Tata Merger,"Mohini Mohan Dutta: 'Mystery man' of Ratan Tata's will, set to get richer by Rs 500 crore due to...",India.Com,2 hours ago,https://www.india.com/business/mohini-mohan-dutta-mystery-man-of-ratan-tatas-will-set-to-get-richer-by-rs-500-crore-due-to-mention-in-will-7605718/
